ILMN_1690105 STAT1
ILMN_1709042 RBM4
ILMN_1719881 RBM4
ILMN_1814044 CABIN1
ILMN_1784250 FZD1
ILMN_1753196 PTTG1
ILMN_1685845 POLDIP3
ILMN_1688000 POLDIP3
ILMN_1729748 PEF1
ILMN_1694799 PIAS2
ILMN_1789535 DHDDS
ILMN_1780560 NA
ILMN_1677785 ZNF559
ILMN_1720631 PDP1
ILMN_1720708 CSNK1D
ILMN_1737198 CSNK1D
ILMN_1734387 DUSP4
ILMN_1784661 TMEM2
ILMN_1754842 DLGAP4
ILMN_1804611 TMEM263
ILMN_1757298 BTBD7
ILMN_1715616 LRR1
ILMN_1778890 LRR1
ILMN_1765825 DCAF11
ILMN_1657373 LEPREL1
ILMN_1806999 TGFB1
ILMN_1716056 LMF2
ILMN_1742166 GRWD1
ILMN_1706824 HEATR2
ILMN_1801766 CCDC109B
ILMN_1730294 INO80C
ILMN_1658802 NA
ILMN_1750347 C4orf3
ILMN_1813410 RNF220
ILMN_1726181 C19orf52
ILMN_1681118 CAPRIN2
ILMN_1794033 CRIPAK
ILMN_1735608 C19orf47
ILMN_1676600 SEC24C
ILMN_1798581 MCM8
ILMN_1660938 NA
ILMN_1679209 HSPA9
ILMN_1742618 XAF1
ILMN_1737988 PRNP
ILMN_1773751 HRAS
ILMN_1769883 IDE
ILMN_1722522 CCNT2
ILMN_1740217 HACE1
ILMN_1792076 TRERF1
ILMN_1680727 GLRX2
ILMN_1690957 MT2A
ILMN_1778371 CCBL2
ILMN_1653609 RBMXL1
ILMN_1751760 BCAS2
ILMN_1780898 PRKCH
ILMN_1658456 SNX19
ILMN_1675387 LIMS1
ILMN_1785765 TM9SF2
ILMN_1760683 SRSF9
ILMN_1698330 NIT1
ILMN_1781198 PPP1R3D
ILMN_1781623 TEX264
ILMN_1655434 UCK1
ILMN_1712505 KDELC1
ILMN_1676393 NA
ILMN_1754303 RPL30
ILMN_1724897 C14orf93
ILMN_1698770 NADK2
ILMN_1742318 IL18BP
ILMN_1692464 NA
ILMN_1690352 ADO
ILMN_1699610 CCT6B
ILMN_1736176 PLK1
ILMN_1761566 CYSTM1
ILMN_1713529 SEMA6A
ILMN_1790410 DROSHA
ILMN_1779356 TP53
ILMN_1914332 NA
ILMN_1674768 NA
ILMN_1770044 CHRNA5
ILMN_1743303 TTC1
ILMN_1795104 NA
ILMN_1691861 FASTK
ILMN_1664098 FASTK
ILMN_1652797 FAM174B
ILMN_1770676 CAPRIN1
ILMN_1654060 MKNK2
ILMN_1707077 SORT1
ILMN_1741253 UBR5
ILMN_1656773 NA
ILMN_1651375 BICD2
ILMN_1702501 RPS6KA2
ILMN_1729684 CDK9
ILMN_1737195 CENPK
ILMN_1721093 TAF10
ILMN_1663195 MIR93
ILMN_1738784 PPP2R5A
ILMN_1779214 ATM
ILMN_1758529 P2RX1
ILMN_1700546 ELOVL6
ILMN_1734736 VPS16
ILMN_1814120 PECR
ILMN_1711930 MRPL37
ILMN_1798588 HLTF
ILMN_1673820 HLTF
ILMN_1771586 NOC3L
ILMN_1813374 MFSD12
ILMN_1667510 C12orf65
ILMN_1662147 MANEAL
ILMN_1754304 SNRNP48
ILMN_1686750 NA
ILMN_1758658 FADD
ILMN_1698167 ZHX1
ILMN_1732489 SLC10A7
ILMN_1739967 TBK1
ILMN_1776109 ZNF622
ILMN_1724863 TICAM1
ILMN_1675038 PRMT2
ILMN_1694877 CASP6
ILMN_1879463 NA
ILMN_1711327 TRIM37
ILMN_1725079 TSPAN31
ILMN_1700168 LARS2
ILMN_1701213 PIP4K2B
ILMN_1806725 NA
ILMN_1734508 ICT1
ILMN_1698766 PYCARD
ILMN_1720926 PSMD5
ILMN_1791371 STX1A
ILMN_1664921 PPP6C
ILMN_1798636 RPL32
ILMN_1794230 SCAND1
ILMN_1797964 ARL6IP6
ILMN_1862910 NA
ILMN_1675577 TRMT61A
ILMN_1803312 DIMT1
ILMN_1690371 MRPL11
ILMN_1657873 XPO4
ILMN_1712082 GCNT3
ILMN_1781420 MRPL42
ILMN_1747911 CDK1
ILMN_1690065 G3BP1
ILMN_1753064 TTC13
ILMN_1714820 ITGB1P1
ILMN_1787251 DAAM1
ILMN_1810127 ZNF789
ILMN_1766658 PKMYT1
ILMN_1715680 NEIL2
ILMN_1729212 GRM8
ILMN_1801091 CERKL
ILMN_1757317 LARS
ILMN_1691272 ZMYND10
ILMN_1754489 FBXL20
ILMN_1712888 HSPH1
ILMN_1679640 FXR1
ILMN_1899936 NA
ILMN_1666761 PPP2R5E
ILMN_1714165 ST3GAL2
ILMN_1711030 OPLAH
ILMN_1758324 SLCO5A1
ILMN_1680782 PATL1
ILMN_1713561 LAMP5
ILMN_1756525 KLHL20
ILMN_1731736 RIN3
ILMN_1694776 SCP2
ILMN_1678086 CCDC74A
ILMN_1784860 RFC3
ILMN_1676745 ZNF142
ILMN_1677800 SGTA
ILMN_1687508 ALDH7A1P1
ILMN_1673944 MANBAL
ILMN_1652300 ZNF507
ILMN_1652434 MTHFD2L
ILMN_1676047 MPND
ILMN_1656482 OSBPL2
ILMN_1775943 BRMS1L
ILMN_1744508 FAM53C
ILMN_1701613 RARRES3
ILMN_1790625 CBX3
ILMN_1765880 USB1
ILMN_1680624 CREG1
ILMN_1720838 DECR1
ILMN_1666480 NA
ILMN_1671427 FBXW4
ILMN_1764850 HPCAL1
ILMN_1787376 CERS5
ILMN_1660727 ENPP5
ILMN_1655312 HPS5
ILMN_1668582 CRBN
ILMN_1676423 CCNC
ILMN_1681914 CCNC
ILMN_1694085 UBA2
ILMN_1812312 NDUFS4
ILMN_1778486 TRPM7
ILMN_1783695 EPRS
ILMN_1659350 CASP6
ILMN_1808590 GUCY1A3
ILMN_1787567 TSC22D1
ILMN_1734696 FRG1
ILMN_1785732 TNFAIP6
ILMN_1680874 TUBB2B
ILMN_1772113 U2AF1
ILMN_1808305 RTCA
ILMN_1763080 QARS
ILMN_1740161 ANKRD26
ILMN_1717905 DCAF8
ILMN_1747943 ZNF670
ILMN_1775797 ASB1
ILMN_1750967 ZKSCAN3
ILMN_1754051 RMI1
ILMN_1710571 PAPD5
ILMN_1766195 ZNF558
ILMN_1729423 ZNF583
ILMN_1683065 COA5
ILMN_1686411 DVL3
ILMN_1664006 AGL
ILMN_1708375 IRF1
ILMN_1775703 TRAPPC6A
ILMN_1807674 ARRDC1
ILMN_1655117 WDR19
ILMN_1673962 NUP205
ILMN_1775637 CBFA2T3
ILMN_1797600 SLC12A8
ILMN_1767459 POLR3B
ILMN_1792075 CD22
ILMN_1807719 CTNS
ILMN_1706817 SERP1
ILMN_1679268 PELI1
ILMN_1705783 MIR6514
ILMN_1661776 CENPJ
ILMN_1745593 STMN1
ILMN_1657796 STMN1
ILMN_1663122 PKM
ILMN_1694233 ACYP1
ILMN_1657770 IFNG
ILMN_1713679 MREG
ILMN_1749410 PKP4
ILMN_1657153 ACTR3
ILMN_1705907 NUP153
ILMN_1656899 CIB1
ILMN_1775761 TSR1
ILMN_1800855 PPTC7
ILMN_1811472 KIF23
ILMN_1797793 BLVRB
ILMN_1793578 ZFP37
ILMN_1798373 ITPRIPL1
ILMN_1664920 C19orf12
ILMN_1666376 TRIM56
ILMN_1763657 CXXC4
ILMN_1812118 ZNF570
ILMN_1699365 SLC30A6
ILMN_1706990 ZNF271
ILMN_1746171 H2AFY
ILMN_1767651 TECPR1
ILMN_1663113 TTLL12
ILMN_1810703 FANCD2
ILMN_1712122 FANCD2
ILMN_1812747 MAPK3
ILMN_1658143 RFC3
ILMN_1711381 RFC3
ILMN_1709439 CHMP1A
ILMN_1735353 IRX1
ILMN_1691425 LDOC1L
ILMN_1727574 ZNF827
ILMN_1811301 INPP5E
ILMN_1671902 THUMPD3
ILMN_1747419 PCGF2
ILMN_1723971 SLC29A1
ILMN_1666553 SLC25A19
ILMN_1673323 DPM3
ILMN_1758719 NEDD9
ILMN_1662232 DCTN2
ILMN_1654156 SNTB2
ILMN_1799299 PRPF38B
ILMN_1796165 GLRX5
ILMN_1813544 OXCT1
ILMN_1801121 SENP2
ILMN_1738272 DHX36
ILMN_1687703 TRIM37
ILMN_1706592 ITGAV
ILMN_1730059 DHX33
ILMN_1806937 BABAM1
ILMN_1718013 CPSF3L
ILMN_1716237 ACOT2
ILMN_1808709 ZDHHC6
ILMN_1685104 FAM206A
ILMN_1705117 SEC13
ILMN_1730698 ODF2
ILMN_1814113 ZFR
ILMN_1651385 MFN2
ILMN_1727704 LRRC29
ILMN_1661299 TLE6
ILMN_1744196 C6orf1
ILMN_1771135 ZKSCAN2
ILMN_1755954 CPEB3
ILMN_1778318 VSIG10
ILMN_1773763 MTA2
ILMN_1673788 CDV3
ILMN_1691106 CDV3
ILMN_1810832 ZNF343
ILMN_1651378 AUP1
ILMN_1655868 ANP32C
ILMN_1773247 ZNF410
ILMN_1726320 KCNN4
ILMN_1710756 ENO1
ILMN_1728163 CTDSP1
ILMN_1786065 UHRF1
ILMN_1715175 MET
ILMN_1764945 AP3D1
ILMN_1719006 HMG20A
ILMN_1704795 MARK3
ILMN_1810826 NAA35
ILMN_1759983 DR1
ILMN_1691290 CELSR3
ILMN_1712452 KIF20B
ILMN_1662451 FCER2
ILMN_1658416 MRPS18C
ILMN_1693788 ZNF432
ILMN_1653612 KCTD9
ILMN_1705111 FNDC3A
ILMN_1673185 CPSF2
ILMN_1658426 WNT10A
ILMN_1768870 CAPZA2
ILMN_1791820 ZNF768
ILMN_1756701 DHRS11
ILMN_1653266 DNAJB14
ILMN_1695962 SLC12A9
ILMN_1753279 HNRNPA0
ILMN_1888894 STK32C
ILMN_1790111 THAP6
ILMN_1764329 C21orf59
ILMN_1776147 NA
ILMN_1785638 SDCBP
ILMN_1784553 SDC2
ILMN_1657803 CFH
ILMN_1658821 SAMD1
ILMN_1681222 TOR2A
ILMN_1784040 NAPSA
ILMN_1667257 SDHB
ILMN_1731905 POLR2B
ILMN_1814194 TCF4
ILMN_1906437 NA
ILMN_1669447 PYHIN1
ILMN_1791232 SPRED2
ILMN_1705671 LSP1
ILMN_1808707 FSCN1
ILMN_1723706 GRAMD4
ILMN_1724826 DNM1L
ILMN_1715705 SSNA1
ILMN_1742410 BCL2L1
ILMN_1654118 BCL2L1
ILMN_1786920 NA
ILMN_1718071 AGTPBP1
ILMN_1750703 MDM1
ILMN_1738333 CCDC50
ILMN_1766346 ZNF512B
ILMN_1747160 SYT15
ILMN_1734973 MRPS9
ILMN_1754344 FAM175A
ILMN_1799320 C9orf37
ILMN_1682792 BYSL
ILMN_1682757 PFKFB2
ILMN_1808407 SH2D3C
ILMN_1781374 TUFT1
ILMN_1802380 RERE
ILMN_1657857 TMEM14C
ILMN_1663894 NA
ILMN_1661002 RFWD2
ILMN_1658407 SLC43A3
ILMN_1805636 PGAP3
ILMN_1720059 HMBOX1
ILMN_1722076 HSD17B11
ILMN_1675117 HSD17B11
ILMN_1722345 PUM2
ILMN_1727815 CFI
ILMN_1701731 AKR1B1
ILMN_1758057 TOR1AIP2
ILMN_1654457 TXN2
ILMN_1672554 ELP5
ILMN_1716821 GORASP1
ILMN_1740474 SBDS
ILMN_1731123 RNF7
ILMN_1782110 ZBTB21
ILMN_1752226 P2RY11
ILMN_1744897 KCNN3
ILMN_1701006 HEXIM2
ILMN_1789505 ITPR1
ILMN_1716218 RPS6KA2
